instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,42,9999297471,9999292890,47,27533
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,123,9998827353,9998822863,21,27533
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,2026,9995297202,9995292594,21,27533
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,42,9998827387,9998822899,18,27533
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,123,9998357185,9998353074,18,27533
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,2026,9999357279,9999353123,19,27533
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,42,9995356303,9995352910,19,27533
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,123,9997886652,9997883428,18,27533
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,2026,9999886724,9999883437,18,27533
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,42,9999297271,9999292847,21,27533
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,123,9998827353,9998822863,18,27533
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,2026,9995297202,9995292594,19,27533
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,42,9998827374,9998822833,19,27533
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,123,9998357073,9998353031,20,27533
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,2026,9999357176,9999353151,19,27533
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,42,9988826644,9988822288,18,27533
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,123,9989826827,9989822538,19,27533
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,2026,9998357180,9998353192,17,27533
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,42,9998297184,9998292639,20,27533
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,123,9998826909,9998822989,18,27533
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,2026,9995297202,9995292594,19,27533
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,42,9994297151,9994292470,20,27533
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,123,9996827320,9996822747,20,27533
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,2026,9997827318,9997822780,13,27533
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,42,9988826429,9988822479,14,27533
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,123,9989826827,9989822538,12,27533
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,2026,9998357180,9998353192,13,27533
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,42,9999297471,9999292890,14,27533
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,123,9998827353,9998822863,14,27533
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,2026,9995297202,9995292594,14,27533
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,42,9998827387,9998822899,14,27533
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,123,9998357185,9998353074,14,27533
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,2026,9999357279,9999353123,14,27533
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,42,9995356303,9995352910,14,27533
