instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.2000,123,9998357073,9998353031,31,2254
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.1000,2026,9995297202,9995292594,26,2254
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.2000,123,9996827320,9996822747,25,2254
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.2000,42,9998827387,9998822899,41,2254
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.1000,123,9998826909,9998822989,30,2254
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.2000,2026,9999357176,9999353151,34,2254
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.3000,42,9995356303,9995352910,42,2254
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.3000,2026,9999886724,9999883437,40,2254
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.3000,42,9988826429,9988822479,29,2254
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.1000,42,9999297271,9999292847,41,2254
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.3000,123,9989826827,9989822538,36,2254
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.2000,42,9998827374,9998822833,41,2254
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.3000,2026,9998357180,9998353192,40,2254
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.1000,123,9998827353,9998822863,27,2254
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.1000,42,9999297471,9999292890,27,2254
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.1000,2026,9995297202,9995292594,47,2254
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.2000,42,9994297151,9994292470,42,2254
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.2000,42,9998827387,9998822899,28,2254
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.2000,2026,9997827318,9997822780,44,2254
