instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.1000,123,9998827353,9998822863,28,5910
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.3000,42,9988826644,9988822288,20,5910
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.2000,2026,9999357176,9999353151,23,5910
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.3000,123,9989826827,9989822538,19,5910
docs\inst_test\instancias\n_1000_1,100,15,15,10,0.3000,2026,9998357180,9998353192,19,5910
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.1000,42,9998297184,9998292639,21,5910
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.1000,123,9998826909,9998822989,21,5910
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.1000,2026,9995297202,9995292594,21,5910
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.2000,123,9996827320,9996822747,20,5910
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.2000,2026,9997827318,9997822780,20,5910
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.3000,42,9988826429,9988822479,21,5910
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.3000,123,9989826827,9989822538,20,5910
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.2000,42,9994297151,9994292470,30,5910
docs\inst_test\instancias\n_1000_1,100,15,15,20,0.3000,2026,9998357180,9998353192,20,5910
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.1000,42,9999297471,9999292890,20,5910
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.1000,123,9998827353,9998822863,21,5910
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.2000,42,9998827387,9998822899,21,5910
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.2000,123,9998357185,9998353074,20,5910
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.1000,2026,9995297202,9995292594,23,5910
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.2000,2026,9999357279,9999353123,21,5910
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.3000,42,9995356303,9995352910,21,5910
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.3000,2026,9999886724,9999883437,20,5910
docs\inst_test\instancias\n_1000_1,100,20,7,5,0.3000,123,9997886652,9997883428,23,5910
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.1000,42,9999297271,9999292847,24,5910
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.1000,123,9998827353,9998822863,21,5910
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.1000,2026,9995297202,9995292594,22,5910
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.2000,42,9998827374,9998822833,21,5910
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.2000,123,9998357073,9998353031,24,5910
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.2000,2026,9999357176,9999353151,22,5910
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.3000,42,9988826644,9988822288,20,5910
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.3000,123,9989826827,9989822538,23,5910
docs\inst_test\instancias\n_1000_1,100,20,7,10,0.3000,2026,9998357180,9998353192,19,5910
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.1000,123,9998826909,9998822989,20,5910
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.1000,42,9998297184,9998292639,22,5910
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.1000,2026,9995297202,9995292594,20,5910
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.2000,123,9996827320,9996822747,23,5910
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.2000,42,9994297151,9994292470,26,5910
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.2000,2026,9997827318,9997822780,21,5910
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.3000,42,9988826429,9988822479,21,5910
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.3000,123,9989826827,9989822538,20,5910
docs\inst_test\instancias\n_1000_1,100,20,7,20,0.3000,2026,9998357180,9998353192,19,5910
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.1000,123,9998827353,9998822863,21,5910
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.1000,42,9999297471,9999292890,22,5910
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.2000,42,9998827387,9998822899,21,5910
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.1000,2026,9995297202,9995292594,22,5910
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.2000,123,9998357185,9998353074,20,5910
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.2000,2026,9999357279,9999353123,20,5910
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.3000,42,9995356303,9995352910,20,5910
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.3000,123,9997886652,9997883428,20,5910
docs\inst_test\instancias\n_1000_1,100,20,10,5,0.3000,2026,9999886724,9999883437,19,5910
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.1000,42,9999297271,9999292847,24,5910
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.1000,123,9998827353,9998822863,20,5910
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.2000,42,9998827374,9998822833,20,5910
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.1000,2026,9995297202,9995292594,21,5910
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.2000,123,9998357073,9998353031,21,5910
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.2000,2026,9999357176,9999353151,21,5910
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.3000,42,9988826644,9988822288,20,5910
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.3000,123,9989826827,9989822538,20,5910
docs\inst_test\instancias\n_1000_1,100,20,10,10,0.3000,2026,9998357180,9998353192,21,5910
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.1000,42,9998297184,9998292639,21,5910
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.1000,123,9998826909,9998822989,22,5910
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.1000,2026,9995297202,9995292594,23,5910
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.2000,42,9994297151,9994292470,21,5910
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.2000,123,9996827320,9996822747,21,5910
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.2000,2026,9997827318,9997822780,20,5910
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.3000,42,9988826429,9988822479,23,5910
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.3000,123,9989826827,9989822538,20,5910
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.3000,2026,9998357180,9998353192,22,5910
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.2000,42,9998827387,9998822899,20,5910
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.2000,123,9998357185,9998353074,21,5910
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.1000,42,9999297471,9999292890,26,5910
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.1000,123,9998827353,9998822863,26,5910
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.1000,2026,9995297202,9995292594,25,5910
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.2000,2026,9999357279,9999353123,20,5910
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.3000,42,9995356303,9995352910,22,5910
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.3000,123,9997886652,9997883428,21,5910
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.3000,2026,9999886724,9999883437,20,5910
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.1000,2026,9995297202,9995292594,22,5910
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.1000,123,9998827353,9998822863,27,5910
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.1000,42,9999297271,9999292847,27,5910
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.2000,42,9998827374,9998822833,25,5910
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.2000,123,9998357073,9998353031,27,5910
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.2000,2026,9999357176,9999353151,22,5910
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.3000,42,9988826644,9988822288,26,5910
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.3000,123,9989826827,9989822538,23,5910
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.3000,2026,9998357180,9998353192,20,5910
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.1000,42,9998297184,9998292639,22,5910
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.1000,2026,9995297202,9995292594,21,5910
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.1000,123,9998826909,9998822989,26,5910
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.2000,42,9994297151,9994292470,23,5910
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.2000,2026,9997827318,9997822780,20,5910
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.3000,123,9989826827,9989822538,26,5910
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.2000,123,9996827320,9996822747,35,5910
