instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,123,9998357185,9998353074,269,2048
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,2026,9998357180,9998353192,271,2048
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,2026,9999357279,9999353123,274,2048
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,123,9996827320,9996822747,271,2048
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,42,9999297471,9999292890,276,2048
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,42,9995356303,9995352910,280,2048
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,2026,9995297202,9995292594,280,2048
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,2026,9998357180,9998353192,279,2048
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,2026,9997827318,9997822780,279,2048
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,42,9988826429,9988822479,282,2048
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,123,9998357185,9998353074,284,2048
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,42,9998827387,9998822899,282,2048
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,123,9989826827,9989822538,284,2048
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,123,9998827353,9998822863,284,2048
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,42,9999297471,9999292890,288,2048
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,123,9998827353,9998822863,289,2048
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,42,9994297151,9994292470,289,2048
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,123,9989826827,9989822538,301,2048
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,123,9998827353,9998822863,310,2048
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,2026,9999357176,9999353151,309,2048
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,2026,9999886724,9999883437,330,2048
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,123,9998826909,9998822989,342,2048
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,42,9998297184,9998292639,344,2048
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,42,9988826644,9988822288,345,2048
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,123,9998357073,9998353031,346,2048
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,123,9997886652,9997883428,348,2048
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,2026,9995297202,9995292594,347,2048
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,42,9999297271,9999292847,349,2048
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,2026,9995297202,9995292594,349,2048
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,42,9998827374,9998822833,348,2048
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,42,9998827387,9998822899,351,2048
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,2026,9995297202,9995292594,351,2048
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,2026,9999886724,9999883437,81,2048
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,2026,9999357279,9999353123,81,2048
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,2026,9995297202,9995292594,83,2048
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,123,9998827353,9998822863,83,2048
