instance,population_size,generations,crossover_rate,mutation_rate,elite_size,tournament_size,stagnation,seed,threads,initial_value,best_value,total_weight,optimal_value,difference,gap_percent,stop_generation,elapsed_s
n_1000_1,80,300,0.8500,0.0100,5,3,100,202,16,9999826150,9999827061,9999821305,9999946233,119172,0.001192,300,0.4147
n_1000_1,80,300,0.8500,0.0100,5,5,50,4,16,9999826041,9999827084,9999821584,9999946233,119149,0.001191,265,0.3857
n_1000_1,80,300,0.8500,0.0100,5,5,50,12,16,9999826005,9999827103,9999821505,9999946233,119130,0.001191,274,0.3982
n_1000_1,80,300,0.8500,0.0100,5,5,50,202,16,9999826150,9999827159,9999821505,9999946233,119074,0.001191,277,0.3937
n_1000_1,80,300,0.8500,0.0100,5,5,100,4,16,9999826041,9999827099,9999821600,9999946233,119134,0.001191,300,0.4307
n_1000_1,80,300,0.8500,0.0100,5,5,100,12,16,9999826005,9999827103,9999821505,9999946233,119130,0.001191,300,0.4117
n_1000_1,80,300,0.8500,0.0100,5,5,100,202,16,9999826150,9999827167,9999821521,9999946233,119066,0.001191,300,0.4488
n_1000_1,80,300,0.9500,0.0050,3,3,50,4,16,9999826041,9999827031,9999821247,9999946233,119202,0.001192,286,0.4036
n_1000_1,80,300,0.9500,0.0050,3,3,50,12,16,9999826005,9999827032,9999821456,9999946233,119201,0.001192,300,0.4246
n_1000_1,80,300,0.9500,0.0050,3,3,50,202,16,9999826150,9999826979,9999821231,9999946233,119254,0.001193,216,0.3179
n_1000_1,80,300,0.9500,0.0050,3,3,100,4,16,9999826041,9999827031,9999821247,9999946233,119202,0.001192,300,0.5260
n_1000_1,80,300,0.9500,0.0050,3,3,100,12,16,9999826005,9999827032,9999821456,9999946233,119201,0.001192,300,0.4078
n_1000_1,80,300,0.9500,0.0050,3,3,100,202,16,9999826150,9999827026,9999821437,9999946233,119207,0.001192,300,0.4218
n_1000_1,80,300,0.9500,0.0050,3,5,50,4,16,9999826041,9999827130,9999821707,9999946233,119103,0.001191,272,0.3858
n_1000_1,80,300,0.9500,0.0050,3,5,50,12,16,9999826005,9999827124,9999821514,9999946233,119109,0.001191,300,0.4299
n_1000_1,80,300,0.9500,0.0050,3,5,50,202,16,9999826150,9999827102,9999821604,9999946233,119131,0.001191,300,0.4319
n_1000_1,80,300,0.9500,0.0050,3,5,100,4,16,9999826041,9999827130,9999821707,9999946233,119103,0.001191,300,0.4128
n_1000_1,80,300,0.9500,0.0050,3,5,100,12,16,9999826005,9999827124,9999821514,9999946233,119109,0.001191,300,0.4314
n_1000_1,80,300,0.9500,0.0050,3,5,100,202,16,9999826150,9999827102,9999821604,9999946233,119131,0.001191,300,0.4238
n_1000_1,80,300,0.9500,0.0050,5,3,50,4,16,9999826041,9999826973,9999821464,9999946233,119260,0.001193,300,0.4168
n_1000_1,80,300,0.9500,0.0050,5,3,50,12,16,9999826005,9999826980,9999821354,9999946233,119253,0.001193,300,0.4138
