instance,ants,iterations,alpha,beta,rho,q,stall,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,0.5000,120,123,9989474305,9989473965,58
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,0.5000,120,42,9989474305,9989473965,59
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,0.5000,80,2026,9989474305,9989473965,58
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,0.5000,50,2026,9989474305,9989473965,59
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,0.5000,50,123,9989474305,9989473965,60
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,0.5000,80,123,9989474305,9989473965,61
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,0.5000,80,42,9989474305,9989473965,62
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,0.5000,50,42,9989474305,9989473965,66
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,1.0000,50,123,9989474305,9989473965,17
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,0.5000,120,2026,9989474305,9989473965,17
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,1.0000,50,42,9989474305,9989473965,19
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,1.0000,80,42,9989474305,9989473965,19
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,1.0000,80,123,9989474305,9989473965,20
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,1.0000,50,2026,9989474305,9989473965,22
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,1.0000,80,2026,9989474305,9989473965,20
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,1.0000,120,42,9989474305,9989473965,23
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,1.0000,120,123,9989474305,9989473965,19
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,2.0000,50,42,9989474305,9989473965,18
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,2.0000,50,123,9989474305,9989473965,17
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,2.0000,50,2026,9989474305,9989473965,17
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,2.0000,80,42,9989474305,9989473965,18
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,1.0000,120,2026,9989474305,9989473965,22
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,2.0000,80,123,9989474305,9989473965,21
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,2.0000,80,2026,9989474305,9989473965,17
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,2.0000,120,2026,9989474305,9989473965,44
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,2.0000,120,42,9989474305,9989473965,45
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,0.5000,50,2026,9989474305,9989473965,43
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,0.5000,50,42,9989474305,9989473965,44
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.1000,2.0000,120,123,9989474305,9989473965,46
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,0.5000,50,123,9989474305,9989473965,46
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,0.5000,80,42,9989474305,9989473965,45
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,0.5000,80,123,9989474305,9989473965,44
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,0.5000,80,2026,9989474305,9989473965,15
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,0.5000,120,2026,9989474305,9989473965,17
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,1.0000,50,42,9989474305,9989473965,17
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,1.0000,50,123,9989474305,9989473965,17
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,0.5000,120,42,9989474305,9989473965,23
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,1.0000,50,2026,9989474305,9989473965,16
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,0.5000,120,123,9989474305,9989473965,23
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,1.0000,80,42,9989474305,9989473965,17
docs\inst_test\instancias\n_1000_1,20,20,0.8000,2.0000,0.2000,1.0000,80,123,9989474305,9989473965,16
