instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,42,9988826644,9988822288,241,2722
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,42,9998827374,9998822833,249,2722
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,123,9998827353,9998822863,249,2722
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,42,9999297271,9999292847,250,2722
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,2026,9999886724,9999883437,250,2722
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,2026,9999357279,9999353123,251,2722
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,42,9995356303,9995352910,251,2722
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,123,9998827353,9998822863,251,2722
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,123,9998357185,9998353074,252,2722
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,42,9998827387,9998822899,253,2722
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,42,9999297471,9999292890,254,2722
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,2026,9999357176,9999353151,256,2722
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,123,9998357073,9998353031,256,2722
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,2026,9995297202,9995292594,256,2722
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,123,9997886652,9997883428,257,2722
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,2026,9995297202,9995292594,258,2722
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,2026,9998357180,9998353192,18,2722
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,42,9998297184,9998292639,18,2722
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,123,9996827320,9996822747,17,2722
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,42,9998827387,9998822899,15,2722
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,123,9998827353,9998822863,17,2722
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,123,9998357185,9998353074,16,2722
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,2026,9997827318,9997822780,23,2722
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,123,9998826909,9998822989,26,2722
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,123,9989826827,9989822538,38,2722
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,2026,9995297202,9995292594,34,2722
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,42,9988826429,9988822479,33,2722
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,123,9997886652,9997883428,59,2722
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,123,9989826827,9989822538,75,2722
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,42,9999297471,9999292890,72,2722
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,42,9994297151,9994292470,78,2722
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,2026,9995297202,9995292594,74,2722
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,2026,9999886724,9999883437,59,2722
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,42,9999297271,9999292847,58,2722
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,2026,9998357180,9998353192,77,2722
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,123,9998827353,9998822863,58,2722
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,42,9995356303,9995352910,66,2722
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.1000,2026,9995297202,9995292594,60,2722
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,2026,9999357279,9999353123,69,2722
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.2000,123,9998357073,9998353031,67,2722
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.3000,123,9989826827,9989822538,20,2722
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.3000,42,9988826644,9988822288,62,2722
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.3000,42,9988826429,9988822479,18,2722
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.2000,42,9998827374,9998822833,74,2722
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.2000,2026,9999357176,9999353151,67,2722
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.1000,42,9998297184,9998292639,24,2722
docs\inst_test\instancias\n_1000_1,100,10,10,10,0.3000,2026,9998357180,9998353192,25,2722
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.2000,42,9994297151,9994292470,22,2722
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.2000,2026,9997827318,9997822780,23,2722
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.3000,2026,9998357180,9998353192,21,2722
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.1000,2026,9995297202,9995292594,28,2722
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.1000,123,9998827353,9998822863,15,2722
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.2000,123,9996827320,9996822747,31,2722
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.2000,123,9998357185,9998353074,13,2722
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.1000,123,9998826909,9998822989,39,2722
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.3000,123,9997886652,9997883428,17,2722
docs\inst_test\instancias\n_1000_1,100,10,10,20,0.3000,123,9989826827,9989822538,35,2722
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.1000,42,9999297471,9999292890,32,2722
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.1000,123,9998827353,9998822863,17,2722
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.2000,42,9998827374,9998822833,15,2722
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.3000,2026,9999886724,9999883437,21,2722
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.1000,2026,9995297202,9995292594,20,2722
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.2000,123,9998357073,9998353031,15,2722
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.3000,42,9988826644,9988822288,15,2722
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.1000,42,9999297271,9999292847,25,2722
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.2000,42,9998827387,9998822899,32,2722
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.2000,2026,9999357279,9999353123,32,2722
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.3000,2026,9998357180,9998353192,14,2722
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.3000,123,9989826827,9989822538,15,2722
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.1000,2026,9995297202,9995292594,40,2722
docs\inst_test\instancias\n_1000_1,100,10,15,5,0.3000,42,9995356303,9995352910,36,2722
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.2000,123,9996827320,9996822747,15,2722
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.2000,2026,9997827318,9997822780,14,2722
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.1000,2026,9995297202,9995292594,22,2722
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.3000,123,9989826827,9989822538,15,2722
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.2000,42,9994297151,9994292470,22,2722
docs\inst_test\instancias\n_1000_1,100,10,15,10,0.2000,2026,9999357176,9999353151,34,2722
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.3000,42,9988826429,9988822479,22,2722
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.1000,123,9998826909,9998822989,33,2722
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.2000,42,9998827387,9998822899,18,2722
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.3000,42,9995356303,9995352910,16,2722
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.2000,123,9998357185,9998353074,18,2722
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.1000,42,9998297184,9998292639,37,2722
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.1000,2026,9995297202,9995292594,25,2722
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.2000,2026,9999357279,9999353123,21,2722
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.3000,2026,9999886724,9999883437,17,2722
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.3000,123,9997886652,9997883428,22,2722
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.2000,42,9998827374,9998822833,15,2722
docs\inst_test\instancias\n_1000_1,100,10,15,20,0.3000,2026,9998357180,9998353192,35,2722
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.1000,123,9998827353,9998822863,32,2722
docs\inst_test\instancias\n_1000_1,100,15,7,5,0.1000,42,9999297471,9999292890,36,2722
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.2000,2026,9999357176,9999353151,20,2722
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.3000,42,9988826644,9988822288,17,2722
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.2000,123,9998357073,9998353031,24,2722
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.1000,42,9999297271,9999292847,32,2722
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.1000,123,9998826909,9998822989,17,2722
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.2000,42,9994297151,9994292470,16,2722
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.1000,42,9998297184,9998292639,20,2722
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.3000,123,9989826827,9989822538,26,2722
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.2000,123,9996827320,9996822747,18,2722
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.1000,123,9998827353,9998822863,37,2722
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.1000,2026,9995297202,9995292594,37,2722
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.3000,42,9988826429,9988822479,21,2722
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.1000,2026,9995297202,9995292594,29,2722
docs\inst_test\instancias\n_1000_1,100,15,7,10,0.3000,2026,9998357180,9998353192,34,2722
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.3000,2026,9998357180,9998353192,22,2722
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.1000,123,9998827353,9998822863,20,2722
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.2000,123,9998357185,9998353074,19,2722
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.1000,42,9999297471,9999292890,25,2722
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.2000,2026,9999357279,9999353123,19,2722
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.2000,2026,9997827318,9997822780,35,2722
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.3000,42,9995356303,9995352910,17,2722
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.2000,42,9998827387,9998822899,23,2722
docs\inst_test\instancias\n_1000_1,100,15,7,20,0.3000,123,9989826827,9989822538,35,2722
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.3000,2026,9999886724,9999883437,19,2722
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.1000,2026,9995297202,9995292594,26,2722
docs\inst_test\instancias\n_1000_1,100,15,10,5,0.3000,123,9997886652,9997883428,21,2722
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.1000,123,9998827353,9998822863,21,2722
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.2000,123,9998357073,9998353031,18,2722
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.3000,2026,9998357180,9998353192,14,2722
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.2000,2026,9999357176,9999353151,17,2722
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.2000,42,9998827374,9998822833,23,2722
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.1000,123,9998826909,9998822989,14,2722
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.2000,42,9994297151,9994292470,14,2722
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.1000,42,9999297271,9999292847,35,2722
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.3000,42,9988826429,9988822479,15,2722
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.3000,123,9989826827,9989822538,22,2722
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.2000,123,9996827320,9996822747,19,2722
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.2000,2026,9997827318,9997822780,21,2722
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.1000,2026,9995297202,9995292594,35,2722
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.1000,42,9998297184,9998292639,24,2722
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.1000,2026,9995297202,9995292594,23,2722
docs\inst_test\instancias\n_1000_1,100,15,10,20,0.3000,123,9989826827,9989822538,19,2722
docs\inst_test\instancias\n_1000_1,100,15,10,10,0.3000,42,9988826644,9988822288,34,2722
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.2000,42,9998827387,9998822899,22,2722
docs\inst_test\instancias\n_1000_1,100,15,15,5,0.2000,123,9998357185,9998353074,21,2722
