instance,optimal_value,initial_value,best_value,gap_percent,total_weight,threads,best_configuration,stop_generation,elapsed_s,instance_started_at_epoch_ms,instance_ended_at_epoch_ms,instance_elapsed_s
n_1000_1,9999946233,9999826041,9999827305,0.001189,9999821986,32,pop=80 gen=500 cRate=0.8500 mRate=0.0050 elite=3 tourn=5 stag=50 seed=4 threads=32,489,0.8521,1779829307999,1779829317106,9.1070
n_1000_2,9999964987,9999853865,9999857893,0.001071,9999840662,32,pop=100 gen=500 cRate=0.8500 mRate=0.0050 elite=5 tourn=5 stag=100 seed=4 threads=32,500,1.0661,1779829316031,1779829325400,9.3690
n_1000_3,9999229281,9999228097,9999229005,0.000003,9999225983,32,pop=80 gen=500 cRate=0.9500 mRate=0.0050 elite=5 tourn=5 stag=100 seed=4 threads=32,500,0.8335,1779829324445,1779829333610,9.1650
n_1000_4,9999239905,9999238295,9999239712,0.000002,9999232254,32,pop=100 gen=500 cRate=0.8500 mRate=0.0050 elite=5 tourn=5 stag=100 seed=202 threads=32,500,1.0599,1779829332504,1779829341071,8.5670
n_1000_5,9999251796,9999249697,9999251471,0.000003,9999240980,32,pop=100 gen=500 cRate=0.9500 mRate=0.0050 elite=5 tourn=5 stag=100 seed=12 threads=32,500,1.0900,1779829340148,1779829348556,8.4080
n_1000_6,9996100344,9996100244,9996100343,0.000000,9996100031,32,pop=100 gen=500 cRate=0.9500 mRate=0.0050 elite=3 tourn=5 stag=100 seed=12 threads=32,429,0.9089,1779829347436,1779829353143,5.7070
n_1000_7,9996105266,9996105048,9996105254,0.000000,9996103602,32,pop=100 gen=300 cRate=0.9500 mRate=0.0100 elite=5 tourn=5 stag=50 seed=202 threads=32,206,0.4554,1779829352415,1779829357631,5.2160
n_1000_8,9996111502,9839861382,9996111488,0.000000,9996109736,32,pop=80 gen=300 cRate=0.9500 mRate=0.0100 elite=5 tourn=3 stag=50 seed=202 threads=32,200,0.3286,1779829357048,1779829362410,5.3620
n_1000_9,9980488131,9980482827,9980486930,0.000012,9980481538,32,pop=80 gen=500 cRate=0.9500 mRate=0.0050 elite=5 tourn=5 stag=50 seed=12 threads=32,500,0.8546,1779829361816,1779829369558,7.7420
n_1000_10,9980507700,9980497634,9980505783,0.000019,9980494144,32,pop=100 gen=500 cRate=0.8500 mRate=0.0050 elite=5 tourn=5 stag=100 seed=202 threads=32,500,1.0557,1779829368668,1779829376373,7.7050
