Instância,Solução ótima (SO),Solução inicial,Solução encontrada (SE),% de desvio em relação à SO,Tempo computacional total
n_1000_1,9999946233,9981765208,9999944731,0.000015%,207.3829
n_1000_10,9980507700,9980502348,9980502348,0.000054%,223.2450
n_1000_2,9999964987,9987797016,9999489096,0.004759%,238.1729
n_1000_3,9999229281,9981260200,9999224244,0.000050%,219.7216
n_1000_4,9999239905,9961739503,9999230407,0.000095%,206.7326
n_1000_5,9999251796,9930500811,9999237676,0.000141%,207.7603
n_1000_6,9996100344,9312506545,9996100139,0.000002%,207.2545
n_1000_7,9996105266,9507823943,9988291896,0.078164%,206.6256
n_1000_8,9996111502,9410173763,9996111020,0.000005%,204.4084
n_1000_9,9980488131,9980484517,9980484517,0.000036%,225.3561
